"","subj","block","type","session","item","alpha"
"146",2695154,"biopsych",4,3,24,0.3285
"147",2695154,"biopsych",4,3,25,0.3492
"148",2703785,"vocab1",1,1,1,0.4813
"149",2703785,"vocab1",1,1,2,0.2008
"150",2703785,"vocab1",1,1,3,0.2273
"151",2703785,"vocab1",1,1,4,0.3121
"152",2703785,"vocab1",1,1,5,0.2531
"153",2703785,"vocab1",1,1,7,0.2504
"154",2703785,"vocab1",1,1,8,0.2508
"155",2703785,"vocab1",1,1,9,0.3008
"156",2703785,"vocab1",1,1,10,0.5914
"157",2703785,"vocab1",1,1,11,0.2375
"158",2703785,"vocab1",1,1,12,0.2504
"159",2703785,"vocab1",1,1,13,0.348
"160",2703785,"vocab1",1,1,15,0.2168
"161",2703785,"vocab1",1,1,17,0.4152
"162",2703785,"vocab1",1,1,18,0.3496
"163",2703785,"vocab1",1,1,19,0.4465
"164",2703785,"vocab1",1,1,20,0.3602
"165",2703785,"vocab1",1,1,22,0.4559
"166",2703785,"vocab1",1,1,24,0.3434
"167",2703785,"vocab1",1,1,25,0.2996
"168",2703785,"vocab2",1,2,26,0.6523
"169",2703785,"vocab2",1,2,27,0.4531
"170",2703785,"vocab2",1,2,28,0.4391
"171",2703785,"vocab2",1,2,29,0.2016
"172",2703785,"vocab2",1,2,30,0.275
"173",2703785,"vocab2",1,2,32,0.2551
"174",2703785,"vocab2",1,2,33,0.3059
"175",2703785,"vocab2",1,2,34,0.2504
"176",2703785,"vocab2",1,2,35,0.3375
"177",2703785,"vocab2",1,2,36,0.2504
"178",2703785,"vocab2",1,2,37,0.2504
"179",2703785,"vocab2",1,2,38,0.2629
"180",2703785,"vocab2",1,2,40,0.2742
"181",2703785,"vocab2",1,2,42,0.3313
"182",2703785,"vocab2",1,2,43,0.2617
"183",2703785,"vocab2",1,2,44,0.4859
"184",2703785,"vocab2",1,2,45,0.3648
"185",2703785,"vocab2",1,2,47,0.2504
"186",2703785,"vocab2",1,2,49,0.3
"187",2703785,"vocab2",1,2,50,0.4832
"188",2703785,"vocab3",1,3,51,0.4676
"189",2703785,"vocab3",1,3,52,0.3398
"190",2703785,"vocab3",1,3,53,0.4566
"191",2703785,"vocab3",1,3,54,0.3176
"192",2703785,"vocab3",1,3,55,0.3586
"193",2703785,"vocab3",1,3,57,0.2008
"194",2703785,"vocab3",1,3,58,0.2734
"195",2703785,"vocab3",1,3,59,0.2008
"196",2703785,"vocab3",1,3,60,0.4301
"197",2703785,"vocab3",1,3,61,0.2008
"198",2703785,"vocab3",1,3,62,0.6082
"199",2703785,"vocab3",1,3,63,0.2008
"200",2703785,"vocab3",1,3,64,0.3
"201",2703785,"vocab3",1,3,65,0.348
"202",2703785,"vocab3",1,3,66,0.3379
"203",2703785,"vocab3",1,3,67,0.4059
"204",2703785,"vocab3",1,3,68,0.2996
"205",2703785,"vocab3",1,3,69,0.4027
"206",2703785,"vocab3",1,3,70,0.2504
"207",2703785,"vocab3",1,3,71,0.2504
"208",2703785,"vocab3",1,3,72,0.2504
"209",2703785,"vocab3",1,3,74,0.2965
"210",2703785,"vocab3",1,3,75,0.2008
"211",2703785,"flags",2,1,2,0.2629
"212",2703785,"flags",2,1,3,0.4254
"213",2703785,"flags",2,1,4,0.3426
"214",2703785,"flags",2,1,5,0.5023
"215",2703785,"flags",2,1,7,0.2992
"216",2703785,"flags",2,1,8,0.2008
"217",2703785,"flags",2,1,12,0.3773
"218",2703785,"flags",2,1,15,0.3957
"219",2703785,"flags",2,1,19,0.2715
"220",2703785,"flags",2,1,20,0.4965
"221",2703785,"flags",2,1,24,0.3879
"222",2703785,"flags",2,1,25,0.6098
"223",2703785,"maps",3,2,2,0.3145
"224",2703785,"maps",3,2,3,0.3422
"225",2703785,"maps",3,2,4,0.4418
"226",2703785,"maps",3,2,7,0.3992
"227",2703785,"maps",3,2,8,0.5996
"228",2703785,"maps",3,2,12,0.5504
"229",2703785,"maps",3,2,15,0.4863
"230",2703785,"maps",3,2,19,0.3094
"231",2703785,"maps",3,2,20,0.6215
"232",2703785,"maps",3,2,24,0.2512
"233",2703785,"biopsych",4,3,2,0.6656
"234",2703785,"biopsych",4,3,3,0.2504
"235",2703785,"biopsych",4,3,4,0.718
"236",2703785,"biopsych",4,3,5,0.4957
"237",2703785,"biopsych",4,3,7,0.3418
"238",2703785,"biopsych",4,3,8,0.3262
"239",2703785,"biopsych",4,3,12,0.4305
"240",2703785,"biopsych",4,3,15,0.4234
"241",2703785,"biopsych",4,3,19,0.2504
"242",2703785,"biopsych",4,3,20,0.2008
"243",2703785,"biopsych",4,3,24,0.2914
"244",2703785,"biopsych",4,3,25,0.3406
"245",2715554,"vocab1",1,1,1,0.1512
"246",2715554,"vocab1",1,1,2,0.152
"247",2715554,"vocab1",1,1,3,0.3313
"248",2715554,"vocab1",1,1,4,0.2715
"249",2715554,"vocab1",1,1,5,0.2078
"250",2715554,"vocab1",1,1,6,0.1512
"251",2715554,"vocab1",1,1,7,0.1512
"252",2715554,"vocab1",1,1,8,0.3293
"253",2715554,"vocab1",1,1,9,0.3242
"254",2715554,"vocab1",1,1,10,0.2891
"255",2715554,"vocab1",1,1,11,0.152
"256",2715554,"vocab1",1,1,12,0.3527
"257",2715554,"vocab1",1,1,13,0.2852
"258",2715554,"vocab1",1,1,14,0.5203
"259",2715554,"vocab1",1,1,15,0.1512
"260",2715554,"vocab1",1,1,16,0.357
"261",2715554,"vocab1",1,1,17,0.2313
"262",2715554,"vocab1",1,1,18,0.2445
"263",2715554,"vocab1",1,1,19,0.2676
"264",2715554,"vocab1",1,1,20,0.1387
"265",2715554,"vocab1",1,1,21,0.1512
"266",2715554,"vocab1",1,1,22,0.2844
"267",2715554,"vocab1",1,1,23,0.1512
"268",2715554,"vocab1",1,1,24,0.5703
"269",2715554,"vocab1",1,1,25,0.1512
"270",2715554,"vocab2",1,2,26,0.1656
"271",2715554,"vocab2",1,2,27,0.107
"272",2715554,"vocab2",1,2,28,0.2242
"273",2715554,"vocab2",1,2,29,0.1555
"274",2715554,"vocab2",1,2,30,0.2527
"275",2715554,"vocab2",1,2,31,0.3383
"276",2715554,"vocab2",1,2,32,0.5488
"277",2715554,"vocab2",1,2,33,0.1047
"278",2715554,"vocab2",1,2,34,0.1516
"279",2715554,"vocab2",1,2,35,0.1699
"280",2715554,"vocab2",1,2,36,0.1836
"281",2715554,"vocab2",1,2,37,0.1016
"282",2715554,"vocab2",1,2,38,0.2059
"283",2715554,"vocab2",1,2,39,0.2082
"284",2715554,"vocab2",1,2,40,0.2109
"285",2715554,"vocab2",1,2,41,0.3375
"286",2715554,"vocab2",1,2,42,0.1992
"287",2715554,"vocab2",1,2,43,0.1512
"288",2715554,"vocab2",1,2,44,0.1512
"289",2715554,"vocab2",1,2,45,0.252
"290",2715554,"vocab2",1,2,46,0.3105
"291",2715554,"vocab2",1,2,47,0.3129
"292",2715554,"vocab2",1,2,48,0.1266
"293",2715554,"vocab2",1,2,49,0.1016
"294",2715554,"vocab2",1,2,50,0.2578
"295",2715554,"vocab3",1,3,51,0.6125
"296",2715554,"vocab3",1,3,52,0.157
"297",2715554,"vocab3",1,3,53,0.2707
"298",2715554,"vocab3",1,3,54,0.218
"299",2715554,"vocab3",1,3,55,0.3059
"300",2715554,"vocab3",1,3,56,0.2
"301",2715554,"vocab3",1,3,57,0.1016
"302",2715554,"vocab3",1,3,58,0.1016
"303",2715554,"vocab3",1,3,59,0.1016
"304",2715554,"vocab3",1,3,60,0.2023
"305",2715554,"vocab3",1,3,61,0.1375
"306",2715554,"vocab3",1,3,62,0.3395
"307",2715554,"vocab3",1,3,63,0.1816
"308",2715554,"vocab3",1,3,64,0.3367
"309",2715554,"vocab3",1,3,65,0.1906
"310",2715554,"vocab3",1,3,66,0.1488
"311",2715554,"vocab3",1,3,67,0.1363
"312",2715554,"vocab3",1,3,68,0.1016
"313",2715554,"vocab3",1,3,69,0.2656
"314",2715554,"vocab3",1,3,70,0.209
"315",2715554,"vocab3",1,3,71,0.1605
"316",2715554,"vocab3",1,3,72,0.1016
"317",2715554,"vocab3",1,3,73,0.2719
"318",2715554,"vocab3",1,3,74,0.1512
"319",2715554,"vocab3",1,3,75,0.1262
"320",2715554,"flags",2,1,1,0.3
"321",2715554,"flags",2,1,2,0.2504
"322",2715554,"flags",2,1,3,0.3605
"323",2715554,"flags",2,1,4,0.4199
"324",2715554,"flags",2,1,5,0.293
"325",2715554,"flags",2,1,6,0.3371
"326",2715554,"flags",2,1,7,0.2688
"327",2715554,"flags",2,1,8,0.3141
"328",2715554,"flags",2,1,9,0.3172
"329",2715554,"flags",2,1,10,0.2008
"330",2715554,"flags",2,1,11,0.3367
"331",2715554,"flags",2,1,12,0.2504
"332",2715554,"flags",2,1,13,0.3242
"333",2715554,"flags",2,1,14,0.225
"334",2715554,"flags",2,1,15,0.2996
"335",2715554,"flags",2,1,16,0.4527
"336",2715554,"flags",2,1,17,0.2504
"337",2715554,"flags",2,1,18,0.3
"338",2715554,"flags",2,1,19,0.2125
"339",2715554,"flags",2,1,20,0.4988
"340",2715554,"flags",2,1,21,0.3441
"341",2715554,"flags",2,1,22,0.3211
"342",2715554,"flags",2,1,23,0.2008
"343",2715554,"flags",2,1,24,0.3859
"344",2715554,"flags",2,1,25,0.3738
"345",2715554,"maps",3,2,1,0.3496
"346",2715554,"maps",3,2,2,0.2754
"347",2715554,"maps",3,2,3,0.2336
"348",2715554,"maps",3,2,4,0.3
"349",2715554,"maps",3,2,5,0.368
"350",2715554,"maps",3,2,6,0.2008
"351",2715554,"maps",3,2,7,0.3746
"352",2715554,"maps",3,2,8,0.2973
"353",2715554,"maps",3,2,9,0.4129
"354",2715554,"maps",3,2,10,0.4535
"355",2715554,"maps",3,2,11,0.3027
"356",2715554,"maps",3,2,12,0.3477
"357",2715554,"maps",3,2,13,0.4121
"358",2715554,"maps",3,2,14,0.3367
"359",2715554,"maps",3,2,15,0.4574
"360",2715554,"maps",3,2,16,0.2996
"361",2715554,"maps",3,2,17,0.3
"362",2715554,"maps",3,2,18,0.3496
"363",2715554,"maps",3,2,19,0.4281
"364",2715554,"maps",3,2,20,0.3
"365",2715554,"maps",3,2,21,0.3262
"366",2715554,"maps",3,2,22,0.3625
"367",2715554,"maps",3,2,23,0.3105
"368",2715554,"maps",3,2,24,0.3594
"369",2715554,"maps",3,2,25,0.4492
"370",2715554,"biopsych",4,3,1,0.1195
"371",2715554,"biopsych",4,3,2,0.2457
"372",2715554,"biopsych",4,3,3,0.1016
"373",2715554,"biopsych",4,3,4,0.1016
"374",2715554,"biopsych",4,3,5,0.2301
"375",2715554,"biopsych",4,3,6,0.1305
"376",2715554,"biopsych",4,3,7,0.1031
"377",2715554,"biopsych",4,3,8,0.1516
"378",2715554,"biopsych",4,3,9,0.1938
"379",2715554,"biopsych",4,3,10,0.3434
"380",2715554,"biopsych",4,3,11,0.3641
"381",2715554,"biopsych",4,3,12,0.1707
"382",2715554,"biopsych",4,3,13,0.1668
"383",2715554,"biopsych",4,3,14,0.1016
"384",2715554,"biopsych",4,3,15,0.1723
"385",2715554,"biopsych",4,3,16,0.1016
"386",2715554,"biopsych",4,3,17,0.1516
"387",2715554,"biopsych",4,3,18,0.1262
"388",2715554,"biopsych",4,3,19,0.1512
"389",2715554,"biopsych",4,3,20,0.1016
"390",2715554,"biopsych",4,3,21,0.1387
"391",2715554,"biopsych",4,3,22,0.152
"392",2715554,"biopsych",4,3,23,0.1078
"393",2715554,"biopsych",4,3,24,0.1527
"394",2715554,"biopsych",4,3,25,0.1016
"395",60499,"vocab1",1,1,1,0.1137
"396",60499,"vocab1",1,1,2,0.1016
"397",60499,"vocab1",1,1,3,0.2691
"398",60499,"vocab1",1,1,4,0.2074
"399",60499,"vocab1",1,1,5,0.2441
"400",60499,"vocab1",1,1,6,0.4105
"401",60499,"vocab1",1,1,7,0.1133
"402",60499,"vocab1",1,1,8,0.4227
"403",60499,"vocab1",1,1,9,0.4699
"404",60499,"vocab1",1,1,10,0.1285
"405",60499,"vocab1",1,1,11,0.107
"406",60499,"vocab1",1,1,12,0.2332
"407",60499,"vocab1",1,1,13,0.1965
"408",60499,"vocab1",1,1,14,0.2277
"409",60499,"vocab1",1,1,15,0.1883
"410",60499,"vocab1",1,1,16,0.2441
"411",60499,"vocab1",1,1,17,0.1258
"412",60499,"vocab1",1,1,18,0.1687
"413",60499,"vocab1",1,1,19,0.1152
"414",60499,"vocab1",1,1,20,0.1707
"415",60499,"vocab1",1,1,21,0.1543
"416",60499,"vocab1",1,1,22,0.1227
"417",60499,"vocab1",1,1,23,0.1141
"418",60499,"vocab1",1,1,24,0.3363
"419",60499,"vocab1",1,1,25,0.1016
"420",60499,"vocab2",1,2,26,0.4223
"421",60499,"vocab2",1,2,27,0.1914
"422",60499,"vocab2",1,2,28,0.216
"423",60499,"vocab2",1,2,29,0.1516
"424",60499,"vocab2",1,2,30,0.1016
"425",60499,"vocab2",1,2,31,0.1453
"426",60499,"vocab2",1,2,32,0.232
"427",60499,"vocab2",1,2,33,0.1957
"428",60499,"vocab2",1,2,34,0.1043
"429",60499,"vocab2",1,2,35,0.2824
"430",60499,"vocab2",1,2,36,0.4215
"431",60499,"vocab2",1,2,37,0.1145
"432",60499,"vocab2",1,2,38,0.1102
"433",60499,"vocab2",1,2,39,0.1816
"434",60499,"vocab2",1,2,40,0.1578
"435",60499,"vocab2",1,2,41,0.2852
"436",60499,"vocab2",1,2,42,0.207
"437",60499,"vocab2",1,2,43,0.2848
"438",60499,"vocab2",1,2,44,0.1656
"439",60499,"vocab2",1,2,45,0.1984
"440",60499,"vocab2",1,2,46,0.2793
"441",60499,"vocab2",1,2,47,0.3563
"442",60499,"vocab2",1,2,48,0.1391
"443",60499,"vocab2",1,2,49,0.2152
"444",60499,"vocab2",1,2,50,0.2695
"445",60499,"vocab3",1,3,51,0.1445
"446",60499,"vocab3",1,3,52,0.2344
"447",60499,"vocab3",1,3,53,0.2359
"448",60499,"vocab3",1,3,54,0.1332
"449",60499,"vocab3",1,3,55,0.323
"450",60499,"vocab3",1,3,56,0.3723
"451",60499,"vocab3",1,3,57,0.1363
"452",60499,"vocab3",1,3,58,0.1082
"453",60499,"vocab3",1,3,59,0.1016
"454",60499,"vocab3",1,3,60,0.1258
"455",60499,"vocab3",1,3,61,0.1016
"456",60499,"vocab3",1,3,62,0.2305
"457",60499,"vocab3",1,3,63,0.1332
"458",60499,"vocab3",1,3,64,0.3684
"459",60499,"vocab3",1,3,65,0.2176
"460",60499,"vocab3",1,3,66,0.1645
"461",60499,"vocab3",1,3,67,0.123
"462",60499,"vocab3",1,3,68,0.1508
"463",60499,"vocab3",1,3,69,0.1871
"464",60499,"vocab3",1,3,70,0.3
"465",60499,"vocab3",1,3,71,0.1613
"466",60499,"vocab3",1,3,72,0.2988
"467",60499,"vocab3",1,3,73,0.1086
"468",60499,"vocab3",1,3,74,0.1605
"469",60499,"vocab3",1,3,75,0.1141
"470",60499,"flags",2,1,1,0.2008
"471",60499,"flags",2,1,2,0.2383
"472",60499,"flags",2,1,3,0.2008
"473",60499,"flags",2,1,4,0.3895
"474",60499,"flags",2,1,5,0.2891
"475",60499,"flags",2,1,6,0.1543
"476",60499,"flags",2,1,7,0.1754
"477",60499,"flags",2,1,8,0.3402
"478",60499,"flags",2,1,9,0.2309
"479",60499,"flags",2,1,10,0.1512
"480",60499,"flags",2,1,11,0.3359
"481",60499,"flags",2,1,12,0.1512
"482",60499,"flags",2,1,13,0.1512
"483",60499,"flags",2,1,14,0.2531
"484",60499,"flags",2,1,15,0.298
"485",60499,"flags",2,1,16,0.348
"486",60499,"flags",2,1,17,0.3195
"487",60499,"flags",2,1,18,0.2516
"488",60499,"flags",2,1,19,0.2684
"489",60499,"flags",2,1,20,0.2543
"490",60499,"flags",2,1,21,0.2824
"491",60499,"flags",2,1,22,0.2098
"492",60499,"flags",2,1,23,0.1758
"493",60499,"flags",2,1,24,0.2563
"494",60499,"flags",2,1,25,0.1754
"495",60499,"maps",3,2,1,0.3277
"496",60499,"maps",3,2,2,0.1512
"497",60499,"maps",3,2,3,0.2664
"498",60499,"maps",3,2,4,0.2008
"499",60499,"maps",3,2,5,0.2855
"500",60499,"maps",3,2,6,0.3488
"501",60499,"maps",3,2,7,0.2684
"502",60499,"maps",3,2,8,0.2012
"503",60499,"maps",3,2,9,0.35
"504",60499,"maps",3,2,10,0.2441
"505",60499,"maps",3,2,11,0.3953
"506",60499,"maps",3,2,12,0.2008
"507",60499,"maps",3,2,13,0.2113
"508",60499,"maps",3,2,14,0.291
"509",60499,"maps",3,2,15,0.4051
"510",60499,"maps",3,2,16,0.2867
"511",60499,"maps",3,2,17,0.3105
"512",60499,"maps",3,2,18,0.2055
"513",60499,"maps",3,2,19,0.3109
"514",60499,"maps",3,2,20,0.3078
"515",60499,"maps",3,2,21,0.3898
"516",60499,"maps",3,2,22,0.2965
"517",60499,"maps",3,2,23,0.2746
"518",60499,"maps",3,2,24,0.2191
"519",60499,"maps",3,2,25,0.373
"520",60499,"biopsych",4,3,1,0.177
"521",60499,"biopsych",4,3,2,0.1508
"522",60499,"biopsych",4,3,3,0.1629
"523",60499,"biopsych",4,3,4,0.1516
"524",60499,"biopsych",4,3,5,0.2492
"525",60499,"biopsych",4,3,6,0.2699
"526",60499,"biopsych",4,3,7,0.227
"527",60499,"biopsych",4,3,8,0.1512
"528",60499,"biopsych",4,3,9,0.1727
"529",60499,"biopsych",4,3,10,0.2102
"530",60499,"biopsych",4,3,11,0.1512
"531",60499,"biopsych",4,3,12,0.2254
"532",60499,"biopsych",4,3,13,0.1512
"533",60499,"biopsych",4,3,14,0.1512
"534",60499,"biopsych",4,3,15,0.3746
"535",60499,"biopsych",4,3,16,0.182
"536",60499,"biopsych",4,3,17,0.175
"537",60499,"biopsych",4,3,18,0.241
"538",60499,"biopsych",4,3,19,0.1512
"539",60499,"biopsych",4,3,20,0.1516
"540",60499,"biopsych",4,3,21,0.1512
"541",60499,"biopsych",4,3,22,0.1422
"542",60499,"biopsych",4,3,23,0.1512
"543",60499,"biopsych",4,3,24,0.1512
"544",60499,"biopsych",4,3,25,0.2
"545",64096,"vocab1",1,1,1,0.2195
"546",64096,"vocab1",1,1,2,0.1512
"547",64096,"vocab1",1,1,3,0.2813
"548",64096,"vocab1",1,1,4,0.2039
"549",64096,"vocab1",1,1,5,0.2508
"550",64096,"vocab1",1,1,6,0.225
"551",64096,"vocab1",1,1,7,0.1758
"552",64096,"vocab1",1,1,8,0.2008
"553",64096,"vocab1",1,1,9,0.2008
"554",64096,"vocab1",1,1,10,0.3066
"555",64096,"vocab1",1,1,11,0.2012
"556",64096,"vocab1",1,1,12,0.3414
"557",64096,"vocab1",1,1,13,0.3406
"558",64096,"vocab1",1,1,14,0.4285
"559",64096,"vocab1",1,1,15,0.1512
"560",64096,"vocab1",1,1,16,0.2723
"561",64096,"vocab1",1,1,17,0.3156
"562",64096,"vocab1",1,1,18,0.1512
"563",64096,"vocab1",1,1,19,0.1527
"564",64096,"vocab1",1,1,20,0.1512
"565",64096,"vocab1",1,1,21,0.225
"566",64096,"vocab1",1,1,22,0.4188
"567",64096,"vocab1",1,1,23,0.2598
"568",64096,"vocab1",1,1,24,0.3684
"569",64096,"vocab1",1,1,25,0.2008
"570",64096,"vocab2",1,2,26,0.2996
"571",64096,"vocab2",1,2,27,0.2008
"572",64096,"vocab2",1,2,28,0.2836
"573",64096,"vocab2",1,2,29,0.1512
"574",64096,"vocab2",1,2,30,0.3195
"575",64096,"vocab2",1,2,31,0.2938
"576",64096,"vocab2",1,2,32,0.3785
"577",64096,"vocab2",1,2,33,0.2008
"578",64096,"vocab2",1,2,34,0.2125
"579",64096,"vocab2",1,2,35,0.1512
"580",64096,"vocab2",1,2,36,0.618
"581",64096,"vocab2",1,2,37,0.1527
"582",64096,"vocab2",1,2,38,0.1512
"583",64096,"vocab2",1,2,39,0.2754
"584",64096,"vocab2",1,2,40,0.3758
"585",64096,"vocab2",1,2,41,0.3008
"586",64096,"vocab2",1,2,42,0.2254
"587",64096,"vocab2",1,2,43,0.3352
"588",64096,"vocab2",1,2,44,0.1512
"589",64096,"vocab2",1,2,45,0.2012
"590",64096,"vocab2",1,2,46,0.4648
"591",64096,"vocab2",1,2,47,0.2008
"592",64096,"vocab2",1,2,48,0.2008
"593",64096,"vocab2",1,2,49,0.2809
"594",64096,"vocab2",1,2,50,0.4105
"595",64096,"vocab3",1,3,51,0.798
"596",64096,"vocab3",1,3,52,0.2188
"597",64096,"vocab3",1,3,53,0.327
"598",64096,"vocab3",1,3,54,0.2996
"599",64096,"vocab3",1,3,55,0.2008
"600",64096,"vocab3",1,3,56,0.3477
"601",64096,"vocab3",1,3,57,0.3332
"602",64096,"vocab3",1,3,58,0.2008
"603",64096,"vocab3",1,3,59,0.2008
"604",64096,"vocab3",1,3,60,0.2504
"605",64096,"vocab3",1,3,61,0.2008
"606",64096,"vocab3",1,3,62,0.3883
"607",64096,"vocab3",1,3,63,0.2008
